"","Fitness","Test_1","Test_2","Test_3","Test_4","Test_5","Test_6","Test_7","Test_8","Test_9","Focal"
"1",5,1,0,1,0,0,1,1,0,1,0
"2",6,0,1,0,0,1,1,1,1,1,0
"3",4,1,0,1,1,0,1,0,0,0,0
"4",4,1,0,1,0,0,0,1,1,0,0
"5",4,1,1,0,0,0,0,1,1,0,0
"6",5,1,1,1,0,0,0,0,1,1,0
"7",2,1,0,1,0,0,0,0,0,0,0
"8",6,1,1,0,1,1,1,0,0,1,0
"9",6,1,0,1,0,1,1,1,1,0,0
"10",7,1,1,0,1,1,1,0,1,1,0
"11",3,0,1,0,0,1,1,0,0,0,0
"12",4,0,0,1,1,0,0,0,1,1,0
"13",5,1,1,1,1,0,0,0,0,1,0
"14",1,0,0,0,0,0,0,1,0,0,0
"15",2,0,0,0,0,1,1,0,0,0,0
"16",7,1,1,1,1,0,1,1,1,0,0
"17",2,0,0,0,1,1,0,0,0,0,0
"18",4,1,0,0,0,1,0,1,0,1,0
"19",5,1,1,1,0,1,0,1,0,0,0
"20",3,0,0,0,0,1,0,1,0,1,0
"21",5,1,1,0,1,0,0,0,1,1,0
"22",2,1,0,0,0,0,0,0,1,0,0
"23",4,1,0,0,0,1,0,0,1,1,0
"24",4,0,0,1,0,0,1,0,1,1,0
"25",7,1,1,1,0,1,1,1,1,0,0
"26",6,1,1,1,1,1,0,0,0,1,0
"27",4,1,0,1,0,1,1,0,0,0,0
"28",6,1,1,0,1,1,0,1,0,1,0
"29",6,1,1,1,1,0,0,1,1,0,0
"30",4,0,0,1,0,1,1,1,0,0,0
"31",4,0,1,0,0,1,0,1,1,0,0
"32",2,1,0,0,1,0,0,0,0,0,0
"33",2,1,0,0,0,0,0,0,0,1,0
"34",1,0,0,0,0,0,0,0,0,1,0
"35",2,1,0,1,0,0,0,0,0,0,0
"36",4,0,0,0,1,0,0,1,1,1,0
"37",7,1,1,1,1,1,1,0,0,1,0
"38",4,1,0,1,1,0,0,0,1,0,0
"39",3,0,0,0,1,1,0,0,0,1,0
"40",7,1,1,0,0,1,1,1,1,1,0
"41",4,0,1,0,0,1,1,0,1,0,0
"42",4,0,0,0,0,1,0,1,1,1,0
"43",7,0,1,1,0,1,1,1,1,1,0
"44",4,1,0,1,1,0,0,0,0,1,0
"45",6,1,0,1,1,1,1,0,0,1,0
"46",4,0,0,1,1,1,0,0,1,0,0
"47",5,1,1,1,1,0,1,0,0,0,0
"48",4,1,1,0,0,1,0,0,0,1,0
"49",4,1,1,0,0,0,0,1,1,0,0
"50",3,1,0,0,0,0,0,1,0,1,0
"51",5,1,0,1,0,1,1,0,0,1,0
"52",2,0,0,0,0,0,1,0,0,1,0
"53",5,1,0,0,1,1,0,1,1,0,0
"54",3,0,0,1,0,0,0,0,1,1,0
"55",3,0,0,0,0,0,0,1,1,1,0
"56",6,1,0,1,1,1,1,1,0,0,0
"57",4,1,1,0,1,0,0,0,0,1,0
"58",4,0,1,0,1,1,0,1,0,0,0
"59",6,1,0,0,1,1,0,1,1,1,0
"60",6,1,0,1,0,1,1,1,0,1,0
"61",5,0,0,1,0,1,1,1,0,1,0
"62",4,0,0,0,1,1,0,0,1,1,0
"63",4,1,1,0,1,0,1,0,0,0,0
"64",4,1,0,0,1,1,0,1,0,0,0
"65",4,1,1,1,1,0,0,0,0,0,0
"66",5,1,0,0,1,1,0,0,1,1,0
"67",3,0,0,1,0,0,0,1,0,1,0
"68",6,1,1,0,0,1,1,1,0,1,0
"69",5,1,0,0,0,1,1,0,1,1,0
"70",5,1,0,0,0,1,1,0,1,1,0
"71",5,0,0,1,1,1,1,1,0,0,0
"72",4,0,0,1,0,1,1,0,1,0,0
"73",7,1,1,1,0,1,0,1,1,1,0
"74",3,0,1,1,0,0,0,1,0,0,0
"75",4,1,0,0,0,1,0,1,1,0,0
"76",4,1,0,0,0,1,1,0,0,1,0
"77",7,1,0,1,0,1,1,1,1,1,0
"78",5,1,0,1,1,0,0,1,1,0,0
"79",4,0,1,0,0,1,1,0,0,1,0
"80",5,1,0,1,1,0,0,1,0,1,0
"81",4,0,1,1,0,0,0,1,1,0,0
"82",6,0,1,1,1,1,1,0,1,0,0
"83",5,0,1,1,1,0,0,0,1,1,0
"84",5,1,0,0,0,1,1,1,1,0,0
"85",5,1,0,0,1,1,0,0,1,1,0
"86",3,0,0,0,1,1,0,0,1,0,0
"87",5,0,1,0,1,1,0,1,0,1,0
"88",5,1,1,1,0,0,0,1,1,0,0
"89",5,1,1,0,1,0,0,1,0,1,0
"90",5,1,1,1,0,1,1,0,0,0,0
"91",1,0,0,0,0,0,0,0,0,0,1
"92",1,0,0,0,0,0,0,0,0,0,1
"93",1,0,0,0,0,0,0,0,0,0,1
"94",1,0,0,0,0,0,0,0,0,0,1
"95",1,0,0,0,0,0,0,0,0,0,1
"96",1,0,0,0,0,0,0,0,0,0,1
"97",1,0,0,0,0,0,0,0,0,0,1
"98",1,0,0,0,0,0,0,0,0,0,1
"99",1,0,0,0,0,0,0,0,0,0,1
"100",1,0,0,0,0,0,0,0,0,0,1
