"","Fitness","Test_ 1","Test_ 2","Test_ 3","Test_ 4","Test_ 5","Test_ 6","Test_ 7","Test_ 8","Test_ 9","Focal"
"1",4,1,0,0,0,1,0,1,1,0,0
"2",5,0,1,1,1,0,1,1,0,0,0
"3",5,0,0,1,1,1,1,1,0,0,0
"4",5,1,0,0,0,1,0,1,1,1,0
"5",4,0,0,0,1,0,1,0,1,1,0
"6",4,1,1,0,0,0,0,1,0,1,0
"7",3,1,0,0,1,0,0,0,0,1,0
"8",6,1,1,0,1,0,0,1,1,1,0
"9",4,0,1,1,1,0,1,0,0,0,0
"10",7,1,1,1,1,1,0,1,1,0,0
"11",5,1,1,1,0,0,1,1,0,0,0
"12",6,0,0,0,1,1,1,1,1,1,0
"13",3,1,0,1,0,0,1,0,0,0,0
"14",7,0,1,1,1,1,1,0,1,1,0
"15",5,1,0,0,1,0,1,0,1,1,0
"16",5,0,1,0,0,1,0,1,1,1,0
"17",3,1,0,1,0,1,0,0,0,0,0
"18",5,1,1,0,1,1,0,0,0,1,0
"19",5,0,0,1,1,0,1,1,0,1,0
"20",4,0,0,1,1,1,0,0,1,0,0
"21",3,1,0,0,0,1,1,0,0,0,0
"22",3,0,0,0,0,1,1,1,0,0,0
"23",6,0,1,1,1,1,0,1,1,0,0
"24",5,1,1,0,1,1,1,0,0,0,0
"25",4,0,1,1,0,0,1,1,0,0,0
"26",7,0,1,1,1,0,1,1,1,1,0
"27",2,1,0,0,0,0,1,0,0,0,0
"28",5,0,0,1,1,0,0,1,1,1,0
"29",5,1,1,0,1,0,1,0,0,1,0
"30",7,1,1,0,1,1,1,1,1,0,0
"31",3,0,0,0,1,1,0,0,1,0,0
"32",5,0,0,1,0,0,1,1,1,1,0
"33",5,1,0,0,1,1,0,1,0,1,0
"34",5,1,0,0,0,1,1,1,1,0,0
"35",6,1,1,1,1,1,1,0,0,0,0
"36",4,1,0,0,0,1,0,1,0,1,0
"37",5,1,1,1,0,0,0,1,1,0,0
"38",4,1,0,0,0,0,0,1,1,1,0
"39",5,0,1,1,0,1,1,1,0,0,0
"40",3,1,0,0,1,0,0,1,0,0,0
"41",3,0,0,1,0,0,1,1,0,0,0
"42",6,0,1,1,1,1,0,0,1,1,0
"43",5,1,0,1,1,1,0,0,0,1,0
"44",4,1,0,0,1,0,1,0,0,1,0
"45",5,1,0,1,1,0,0,1,0,1,0
"46",5,1,0,1,0,1,0,0,1,1,0
"47",3,0,1,0,1,0,0,1,0,0,0
"48",5,1,1,0,0,0,1,1,1,0,0
"49",3,0,1,0,1,0,0,1,0,0,0
"50",6,0,0,1,0,1,1,1,1,1,0
"51",3,1,0,0,1,1,0,0,0,0,0
"52",4,0,0,0,0,0,1,1,1,1,0
"53",2,1,0,0,0,0,0,0,1,0,0
"54",3,0,0,1,0,0,0,1,1,0,0
"55",5,0,0,0,1,1,1,0,1,1,0
"56",6,0,1,1,1,1,1,0,1,0,0
"57",5,0,1,0,1,1,0,1,0,1,0
"58",5,1,0,0,1,1,1,0,1,0,0
"59",5,0,1,0,1,1,1,1,0,0,0
"60",3,0,0,1,0,1,0,0,1,0,0
"61",6,1,0,1,0,1,1,0,1,1,0
"62",3,0,0,1,1,0,0,0,1,0,0
"63",4,1,1,0,0,0,1,0,0,1,0
"64",4,0,1,1,0,1,1,0,0,0,0
"65",2,0,0,0,0,1,0,0,1,0,0
"66",4,0,1,0,1,0,0,1,1,0,0
"67",4,1,1,0,0,1,0,0,0,1,0
"68",8,1,1,0,1,1,1,1,1,1,0
"69",6,0,1,1,0,1,1,0,1,1,0
"70",3,0,1,0,0,1,0,0,0,1,0
"71",7,1,0,1,1,0,1,1,1,1,0
"72",6,1,0,1,1,1,1,0,0,1,0
"73",3,1,0,0,0,1,1,0,0,0,0
"74",5,0,1,1,1,0,0,1,0,1,0
"75",5,1,1,0,0,0,1,0,1,1,0
"76",4,1,0,1,0,0,1,1,0,0,0
"77",5,1,0,0,1,0,1,1,0,1,0
"78",7,1,1,0,0,1,1,1,1,1,0
"79",4,0,0,1,1,0,1,0,1,0,0
"80",3,0,0,0,1,0,1,0,0,1,0
"81",3,0,0,0,1,1,0,0,0,1,0
"82",4,1,1,0,0,0,1,1,0,0,0
"83",4,0,1,1,1,1,0,0,0,0,0
"84",4,0,1,1,0,1,0,1,0,0,0
"85",4,0,0,0,0,1,1,1,0,1,0
"86",2,0,1,0,0,0,0,0,0,1,0
"87",4,0,0,0,1,0,1,1,0,1,0
"88",7,1,1,1,0,0,1,1,1,1,0
"89",4,0,0,1,0,1,0,1,0,1,0
"90",3,0,1,0,0,0,0,1,0,1,0
"91",1,0,0,0,0,0,0,0,0,0,1
"92",1,0,0,0,0,0,0,0,0,0,1
"93",1,0,0,0,0,0,0,0,0,0,1
"94",1,0,0,0,0,0,0,0,0,0,1
"95",1,0,0,0,0,0,0,0,0,0,1
"96",1,0,0,0,0,0,0,0,0,0,1
"97",1,0,0,0,0,0,0,0,0,0,1
"98",1,0,0,0,0,0,0,0,0,0,1
"99",1,0,0,0,0,0,0,0,0,0,1
"100",1,0,0,0,0,0,0,0,0,0,1
