"","Fitness","Test_1","Test_2","Test_3","Test_4","Test_5","Test_6","Test_7","Test_8","Test_9","Test_10","Test_11","Test_12","Test_13","Test_14","Test_15","Test_16","Test_17","Test_18","Test_19","Focal"
"1",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"2",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"4",2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"5",4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"6",2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"7",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"8",2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"9",2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"10",4,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"11",6,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0
"12",2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"13",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"15",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"18",2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"19",2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"20",3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"21",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"22",4,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"23",2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"24",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"25",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"26",2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"27",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"29",5,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
"30",2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"31",3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
"32",4,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"33",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"34",2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"35",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"36",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"37",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"39",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"40",2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"41",2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"42",3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
"44",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"45",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"47",3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"48",2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"49",5,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
"50",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"55",2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"56",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"57",2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"58",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"59",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"60",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"61",2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"62",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"63",2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"65",2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"66",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"70",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"76",2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"77",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"78",4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"79",3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81",3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
"82",3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
"83",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84",3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"85",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"89",3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
"90",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"91",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"92",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
