"","Fitness","Test_ 1","Test_ 2","Test_ 3","Test_ 4","Test_ 5","Test_ 6","Test_ 7","Test_ 8","Test_ 9","Test_ 10","Test_ 11","Test_ 12","Test_ 13","Test_ 14","Test_ 15","Test_ 16","Test_ 17","Test_ 18","Test_ 19","Focal"
"1",9,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0
"2",10,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,0
"3",11,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0
"4",10,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
"5",10,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0
"6",11,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0
"7",8,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0
"8",7,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0
"9",11,0,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,0
"10",11,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,0
"11",7,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0
"12",9,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0
"13",12,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0
"14",7,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0
"15",11,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0
"16",6,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"17",10,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0
"18",9,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0
"19",8,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0
"20",7,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0
"21",9,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0
"22",8,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0
"23",11,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,0
