"","Fitness","Test_ 1","Test_ 2","Test_ 3","Test_ 4","Test_ 5","Test_ 6","Test_ 7","Test_ 8","Test_ 9","Test_ 10","Test_ 11","Test_ 12","Test_ 13","Test_ 14","Test_ 15","Test_ 16","Test_ 17","Test_ 18","Test_ 19","Focal"
"1",8,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
"2",6,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0
"3",8,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0
"4",12,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0
"5",9,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0
"6",9,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0
"7",8,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0
"8",9,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0
"9",14,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0
"10",11,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0
"11",8,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0
"12",10,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
"13",12,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0
"14",11,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0
"15",12,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0
"16",13,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
"17",10,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0
"18",6,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
"19",8,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0
"20",10,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0
"21",11,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,0
"22",9,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0
"23",12,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,1,1,0
"24",9,0,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0
"25",9,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0
"26",11,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0
"27",8,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0
"28",10,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0
"29",5,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
"30",9,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0
"31",9,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0
"32",11,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0
"33",10,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0
"34",9,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0
"35",9,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0
"36",9,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0
"37",7,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0
"38",10,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0
"39",9,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0
"40",8,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0
"41",9,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0
"42",15,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
"43",7,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
"44",12,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0
"45",9,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0
"46",12,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0
"47",9,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0
"48",9,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0
"49",10,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0
"50",11,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0
"51",15,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0
"52",10,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0
"53",12,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0
"54",9,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0
"55",4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"56",10,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0
"57",9,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
"58",10,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0
"59",10,0,1,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
"60",9,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0
"61",10,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0
"62",7,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0
"63",11,1,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0
"64",12,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0
"65",10,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0
"66",8,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0
"67",13,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0
"68",8,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0
"69",9,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0
"70",9,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0
"71",15,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0
"72",9,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0
"73",8,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0
"74",10,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0
"75",11,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"76",11,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0
"77",16,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0
"78",9,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0
"79",12,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0
"80",10,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0
"81",10,0,1,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0
"82",8,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0
"83",11,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0,1,0
"84",13,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0
"85",7,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0
"86",9,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0
"87",8,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0
"88",8,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0
"89",10,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0
"90",12,1,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0
"91",14,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0
"92",13,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0
"93",10,1,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0
"94",6,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
"95",11,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0
"96",10,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0
"97",7,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0
"98",8,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0
"99",6,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
"100",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
